market_id,사용가능상품권,공중화장실보유여부,주차장보유여부
MKT000649,,Y,N
MKT000650,,Y,Y
MKT000651,,Y,N
MKT000652,,Y,N
MKT000653,,Y,Y
MKT000654,,N,N
MKT000655,,Y,N
MKT000656,,Y,Y
MKT000657,,Y,Y
MKT000658,,Y,N
MKT000659,,Y,Y
MKT000660,,Y,Y
MKT000661,,Y,Y
MKT000662,,Y,Y
MKT000663,,Y,Y
MKT000664,,Y,Y
MKT000665,,Y,N
MKT000666,,Y,Y
MKT000667,,N,N
MKT000668,,Y,Y
MKT000669,,Y,N
MKT000670,,Y,Y
MKT000671,,Y,Y
MKT000672,,Y,Y
MKT000673,,Y,Y
MKT000674,,Y,Y
MKT000675,,Y,Y
MKT000676,,Y,N
MKT000677,,Y,Y
MKT000678,,Y,Y
MKT000679,,Y,Y
MKT000680,,Y,Y
MKT000681,,Y,Y
MKT000682,,Y,Y
MKT000683,,Y,N
MKT000684,,Y,N
MKT000685,,Y,Y
MKT000686,,Y,Y
MKT000687,,Y,Y
MKT000688,,Y,Y
MKT000689,,Y,Y
MKT000690,,Y,N
MKT000691,,Y,Y
MKT000692,,Y,Y
MKT000693,,Y,N
MKT000694,,Y,Y
MKT000695,,Y,N
MKT000696,,Y,N
MKT000697,,Y,Y
MKT000698,,Y,N
MKT000699,,Y,N
MKT000700,,Y,N
MKT000701,,Y,Y
MKT000702,,Y,N
MKT000703,,Y,Y
MKT000704,,N,N
MKT000705,,Y,N
MKT000706,,Y,Y
MKT000707,,Y,Y
MKT000708,,Y,N
MKT000709,,Y,N
MKT000710,,Y,Y
MKT000711,,Y,Y
MKT000712,,Y,N
MKT000713,,Y,Y
MKT000714,,Y,N
MKT000715,,Y,Y
MKT000716,,Y,Y
MKT000717,,Y,Y
MKT000718,,Y,Y
MKT000719,,Y,Y
MKT000720,,Y,Y
MKT000721,,Y,N
MKT000722,,Y,Y
MKT000723,,Y,Y
MKT000724,,Y,Y
MKT000725,,Y,Y
MKT000726,,Y,Y
MKT000727,,Y,Y
MKT000728,,Y,Y
MKT000729,,Y,N
MKT000730,,Y,N
MKT000731,,Y,N
MKT000732,,Y,Y
MKT000733,,Y,N
MKT000734,,Y,Y
MKT000735,,Y,Y
MKT000736,,Y,N
MKT000737,,Y,N
MKT000738,,Y,Y
MKT000739,,Y,Y
MKT000740,,Y,Y
MKT000741,,Y,Y
MKT000742,,Y,Y
MKT000743,,Y,N
MKT000744,,Y,Y
MKT000745,,Y,Y
MKT000746,,Y,Y
MKT000747,,Y,Y
MKT000748,,Y,Y
MKT000749,,Y,N
MKT000750,,Y,Y
MKT000751,,Y,Y
MKT000752,,Y,Y
MKT000753,,Y,Y
MKT000754,,N,N
MKT000755,,Y,Y
MKT000756,,Y,Y
MKT000757,,Y,N
MKT000758,,Y,Y
MKT000759,,Y,Y
MKT000760,,Y,Y
MKT000761,,Y,N
MKT000762,,Y,N
MKT000763,,N,N
MKT000764,,Y,N
MKT000765,,Y,N
MKT000766,,Y,Y
MKT000767,,Y,Y
MKT000768,,Y,Y
MKT000769,,Y,N
MKT000770,,Y,Y
MKT000771,,Y,Y
MKT000772,,Y,Y
MKT000773,,Y,Y
MKT000774,,Y,Y
MKT000775,,Y,Y
MKT000776,,Y,N
MKT000777,,Y,N
MKT000778,,Y,Y
MKT000779,,Y,N
MKT000780,,Y,Y
MKT000781,,Y,Y
MKT000782,,Y,Y
MKT000783,,Y,Y
MKT000784,,Y,Y
MKT000785,,Y,N
MKT000786,,Y,Y
MKT000787,,Y,Y
MKT000788,,Y,Y
MKT000789,,Y,Y
MKT000790,,Y,Y
MKT000791,,Y,Y
MKT000792,,Y,Y
MKT000793,,Y,Y
MKT000794,,Y,Y
MKT000795,,Y,Y
MKT000796,,Y,Y
MKT000797,,Y,Y
MKT000798,,N,N
MKT000799,,Y,Y
MKT000800,,Y,Y
MKT000801,,Y,Y
MKT000802,,Y,Y
MKT000803,,Y,Y
MKT000804,,Y,Y
MKT000805,,Y,N
MKT000806,,Y,Y
MKT000807,,Y,Y
MKT000808,,Y,Y
MKT000809,,Y,Y
MKT000810,,Y,Y
MKT000811,,Y,Y
MKT000812,,Y,Y
MKT000813,,Y,Y
MKT000814,,Y,Y
MKT000815,,Y,Y
MKT000816,,Y,Y
MKT000817,,Y,Y
MKT000818,,Y,Y
MKT000819,,Y,Y
MKT000820,,Y,Y
MKT000821,,Y,Y
MKT000822,,Y,Y
MKT000823,,Y,Y
MKT000824,,Y,Y
MKT000825,,Y,N
MKT000826,,Y,Y
MKT000827,,Y,Y
MKT000828,,Y,Y
MKT000829,,Y,Y
MKT000830,,Y,Y
MKT000831,,Y,Y
MKT000832,,Y,Y
MKT000833,,Y,Y
MKT000834,,Y,Y
MKT000835,,Y,Y
MKT000836,,Y,Y
MKT000837,,Y,Y
MKT000838,,Y,Y
MKT000839,,Y,Y
MKT000840,,Y,N
MKT000841,,Y,N
MKT000842,,Y,Y
MKT000843,,Y,Y
MKT000844,,Y,Y
MKT000845,,N,N
MKT000846,,Y,Y
MKT000847,,Y,Y
MKT000848,,Y,Y
MKT000849,,N,N
MKT000850,,N,N
MKT000851,,Y,N
MKT000852,,Y,N
MKT000853,,Y,Y
MKT000854,,Y,Y
MKT000855,,Y,N
MKT000856,,Y,Y
MKT000857,,Y,N
MKT000858,,Y,N
MKT000859,,Y,Y
MKT000860,,Y,Y
MKT000861,,Y,Y
MKT000862,,Y,Y
MKT000863,,Y,Y
MKT000864,,Y,Y
MKT000865,,N,N
MKT000866,,Y,Y
MKT000867,,Y,Y
MKT000868,,Y,Y
MKT000869,,N,Y
MKT000870,,Y,Y
MKT000871,,Y,Y
