관광지ID,관광지명,위도,경도,주소
7068830eeeba14cea1c3022f26a2d6ed,오산시세교아이사랑놀이터,37.1791688,127.0464605,경기 오산시 수청로 166
d5e764f6054a0f3c3338dc247e143deb,온앤온수영장,36.8241058,127.1214442,충남 천안시 서북구 백석로 85
d192f05f0632d309ce4fda16328f9e62,올누림센터,36.9867678,128.3634434,충북 단양군 단양읍 군청로 85
3b43392e77bdeea6ea44c0a5baf2f3a6,용문생활체육공원,37.4933429,127.6063931,경기 양평군 용문면 마룡리 131
5b30cc693af54410f697381e51b63fb7,용인시 처인구 양지읍 삼성전원마을,37.2415795,127.3049497,경기 용인시 처인구 양지읍 학촌로70번길 14
9f9166c7772513fb80d6dc921cddfb13,청하농원,35.8594503,126.8586945,전북특별자치도 김제시 백산면 지평선산단로 123
95b45749ad34c31184200c3c7788e242,칠성암,35.1140233,129.031549,부산 중구 영초길 69
35afdcd4ae29c491e76c1009b6b6f530,낙포부두,34.8613759,127.7555413,전남광주통합특별시 여수시 여수산단로 1512
ead7806366a7a1b402cf9b64c88863fd,달서강창파크골프장,35.8459662,128.4720531,대구 달서구 파호동 401-2
40e2886cf87614e2eb6cf0262ea7598d,동래구 평생학습관,35.2113795,129.0957383,부산 동래구 시실로 129
80c8687d4f6af34271066b2d5e8b7f12,부산전통예술관,35.1525878,129.1057411,부산 수영구 수영로521번길 63
548afb92be7966c6f51885066f3c3e5b,부평구평생학습관,37.5205755,126.7018652,인천 부평구 산청로 129
1d52a906b0528b296a326fdc8c206c76,쁘띠엘점프로이,36.8332033,127.1425637,충남 천안시 서북구 두정로 230
ec6bbccd44bb5e8de320989589571631,신현행정문화체육센터,37.3652653,127.1586966,경기 광주시 머루숯길 70
2b6434a4b8f0265b003e31c0f25fae5c,옥천레포츠공원,37.5205952,127.4568616,경기 양평군 옥천면 옥천체육공원길 40
2fd4fa28e61a6b74d7972203a565c739,와수복합어울림센터,38.2377432,127.4394178,강원특별자치도 철원군 서면 와수로166번길 16
6335ec76f75380bd96067e9fe34c5f6a,유성구구암평생학습센터,36.3492636,127.3303619,대전 유성구 유성대로626번길 57
6704491023368de3360056030b9f693e,장엄사,35.9872707,128.3376183,경북 칠곡군 기산면 봉산4길 54
5a1fe943ef2add6f9078df176412699b,정약용펀그라운드유스호스텔,37.5958358,127.3365607,경기 남양주시 조안면 북한강로 881
3d037f79707f53bd68e4e07fa57a2601,푸르미환경공원,36.623918,127.4040276,충북 청주시 흥덕구 휴암동 335-7
2c3c2eb2c8e84b13dc28fdc10321bc8f,핑퐁플렉스,37.1415411,127.0767133,경기 오산시 밀머리로1번길 28
8a50350d39a75e2d215fefb8390ac760,경암근린공원,35.1789165,126.8010607,전남광주통합특별시 광산구 하남대로54번안길 133
0cf2f86f8936fad568bb5d0efbd7526d,부흥계란,37.5000033,126.7250523,인천 부평구 부평대로98번길 50
d1be7aa44052f4015145074808355578,아이원키즈스포츠&이벤트,36.1262629,128.169474,경북 김천시 농소면 신촌길 166-1
cf73c3829290aee1bcd4e6686a3c30b4,연천군 신서면 소목개마을,38.2052606,127.1267812,경기 연천군 신서면 대광리 636
afd7bdb34e77f82db6e572d3815d0b19,영도다움,35.8652202,128.6023369,대구 중구 공평로4길 39
2c2603eea8a088e7636ba1806bcb1708,진주청소년수련관,35.1916749,128.0827806,경남 진주시 남강로651번길 12
c207ded1de8c61ed3dc1149c4eb8dda7,충청남도홍성교육지원청덕명학습장,36.5054247,126.6245456,충남 홍성군 광천읍 광천로 348
0a498f9dd7a10dd081335e2e3b85b59a,호암근린공원,35.1582781,129.1114138,부산 수영구 광안동 743-5
e0f8e419b9057cae88c72faa2b4ba8b1,고양시어린이교통공원,37.6422793,126.7951946,경기 고양시 일산동구 강송로 14
a30d60c4f86b6014163f15680ae8a1a7,구미시선산청소년수련관,36.2590277,128.2904253,경북 구미시 선산읍 단계동길 270
7d33f4e6bf1cbb783bd06c732dcaa611,궁집,37.644691,127.2317024,경기 남양주시 평내로 9
a8e53c653a2e51868193d777ae698b83,당진교육문화스포츠센터,36.8940372,126.6319928,충남 당진시 당진중앙2로 132-30
d4e05ccb78f301a9b2d00f0a423522b4,대야평생학습관,37.4455204,126.7968351,경기 시흥시 은행로173번길 14
2b329f8adc951ee35133d94688f08a9c,사자바위,37.9828893,124.6975814,인천 옹진군 백령면 진촌리 1770-13
579530a09087d3b5807d5ae67322247d,서산시평생학습관,36.7779597,126.4554936,충남 서산시 안견로 252
d9be1950cc1cb12d575704d209d4c218,성라공원피크닉장,37.6449381,126.8414502,경기 고양시 덕양구 충장로 380
0bfb12e2861914f433cfdc5bfca768a5,유성구전민평생학습센터,36.3953139,127.4051865,대전 유성구 엑스포로 438
a6443518496f2742900070189cc0c1ef,전주시평생학습관,35.8280686,127.1612811,전북특별자치도 전주시 덕진구 구총목로 11
9aaf1124e981cdaf6f3e5628661cbc0b,진미두부,35.8743851,128.563065,대구 서구 통학로 160
2b4183829c719f651507000d0151c323,충주시평생학습관,36.9695971,127.9257999,충북 충주시 사직산6길 20
38c4eb3b2e199fbeed4c8fd730973d1b,키즈다쿵,34.9343317,127.7016179,전남광주통합특별시 광양시 중마로 561
c56df11936524c8b2458f6664bc0b830,CGV목포,34.7992371,126.4332955,전남광주통합특별시 목포시 원형동로 53
38deede099ccc17ee8d1b9df7a2abf55,강화군행복센터,37.7397759,126.488007,인천 강화군 강화읍 남문로 19
f331ba4b42534b4bfc2b84e853307b2f,거제시청소년수련관,34.8848921,128.6188393,경남 거제시 계룡로 175
b44b7c165d29be1e2a04cfa980ef4c11,경인미트,37.4866054,126.7435226,경기 부천시 소사구 서촌로 42
dce81cb177e164c8fd92b40c0bcab22d,광산농장,35.4020429,126.6632911,전북특별자치도 고창군 고수면 오산학산로 260
f92d4fd61494ce2be5d01d21fa83b270,남도상사,35.0971204,129.035283,부산 중구 용미길7번길 4-2
786db891603eee7ade2d75d4097e0564,달서평생학습관,35.8244673,128.5281331,대구 달서구 조암로5길 5-12
ea723e724d052c00b33cf66d817ec859,동아쇼핑타운,36.3752666,127.3209348,대전 유성구 은구비서로 38
3e02d918c165d37bd35481cb31466b50,롤킹롤러스케이트장,36.8241445,127.1240447,충남 천안시 서북구 한들3로 8
16c50386239231eb094e65a3804d0e6e,마산문학관,35.214118,128.5741398,경남 창원시 마산합포구 노산북8길 49-1
2a93e36b7abcbe82ed9ebb69584e437b,명산시장,35.9825052,126.7097525,전북특별자치도 군산시 금광길 20
2808a84d8f663febf6192574ed6fe21e,사상평생학습관,35.155616,128.9866769,부산 사상구 새벽로168번길 61
f80b858bccde885e12caf7ef5a7a85b1,수정공원,37.4763548,126.7017459,인천 부평구 십정동 388
914726cd990d4f501843c21114613f1f,영주시여우골글램핑,36.9326713,128.5551328,경북 영주시 순흥면 죽계로293번길 16
eb4cda2cb004c45ca3e55b6cead80b50,해마루공원,36.1428238,128.4361495,경북 구미시 첨단기업3로 1
6ff8aee30442ad5253c0016163a5497f,CGV기린,37.9651994,128.3193191,강원특별자치도 인제군 기린면 대내로 34-18
46af8d62f6ed3f40c663700bbbfc2082,나리공원파크골프장,37.7841353,127.080944,경기 양주시 광사동 731
4107aa154322b7ca6a115e36786f3678,나주배테마파크,34.9663732,126.6715031,전남광주통합특별시 나주시 왕곡면 덕산길 17
13700c4d75a9b3da33d0eaf37792e3bd,동해무릉파크골프장,37.4785514,129.0566587,강원특별자치도 동해시 삼화로 163-10
1c2993127c108d2f1da08a7b3fa1f728,라온프라이빗타운,33.3785583,126.2411177,제주특별자치도 제주시 한림읍 금능남로 127
0eb4de674919ecda62df1b2f6fcde245,매봉풋살장,37.3793499,126.9426742,경기 안양시 동안구 호계동 168-7
3a42f5254eb2d0ef8cbecb77e02fc253,사라실예술촌,34.9620857,127.6266171,전남광주통합특별시 광양시 광양읍 사곡로 201
f89620d62e0bd1e5e793169d064b6661,상무금요시장,35.1552046,126.8421454,전남광주통합특별시 서구 치평동 1167
beffb864101db8678ac51a22e989803a,성곡시장,35.174467,129.0484264,부산 부산진구 새싹로 207-21
2790aeb0d49651b693aa5df0493fddb6,양전저수지,36.8743604,127.1159717,충남 천안시 서북구 직산읍 양당리 347
7d378fb48fbf250d1a29e60a56f39874,은적사,35.9748304,126.6854726,전북특별자치도 군산시 설림3길 49
9080b04ca58df309ed7bfeba1e63052e,임곡파크골프장,35.2286787,126.7386898,전남광주통합특별시 광산구 고봉로 956-32
4fcea1017c1a3a482477f15e0c73c9de,잼몬스터키즈카페,37.3278519,127.0685381,경기 용인시 수지구 신봉1로 165
6929db7017254d73d9c6c12a9ed14a20,전주교육지원청영재교육원,35.830179,127.136933,전북특별자치도 전주시 덕진구 태진로 100
dcad795d2170028e92f71016b35a61c9,중부동공원,37.5004287,126.7329851,인천 부평구 부흥북로 102
33f1c0c23203f2d716d957ae015bd498,테마승마장,34.8623388,126.4281579,전남광주통합특별시 무안군 삼향읍 영산로 1100-5
d7896056b2cbdaf37c919dacf0c37a77,포항큰동해시장,36.0255907,129.3713851,경북 포항시 남구 해도동 483
f4a72e5962f0c4b2ffaec57e65288fcf,해운대수목원파크골프장,35.2230625,129.1276199,부산 해운대구 석대동 214
0c7eb1003ed59cd27610b7c7897bf6d1,강화작은영화관,37.7452399,126.4748215,인천 강화군 강화읍 고비고개로19번길 12
98a5efc4cbfdfa7095c28b6348f2bfe8,나불지,35.8799504,128.7197895,대구 동구 각산동 134
4b83a15bc0735ca3bd85d40cdcdb3c74,남도향토음식박물관,35.2017516,126.898673,전남광주통합특별시 북구 설죽로 477
55a19e6309c7c6b0953e9ef41c2285e0,독봉산웰빙공원,34.8773094,128.6342817,경남 거제시 고현천로 181
8eb8f153333cb3f94c20ef30368e7098,부산진구 범천동 호천,35.1432149,129.0520268,부산 부산진구 범천동
591598864e8015b43306604aa725249f,상대종합시장,36.0199336,129.3611063,경북 포항시 남구 양학천로76번길 13
7bc59f57c612c9fa3198d289874e8e04,신흥낚시터,36.8744109,127.7893076,충북 괴산군 불정면 신흥6길 74-3
e20fd2d5b91f773bc6bf2ec4d1658776,오창커뮤니티센터,36.7431409,127.4550363,충북 청주시 청원구 오창읍 두릉유리로 1141-12
c176b30d22a0e0b12eb801db45436a05,월명근린공원,36.6511237,127.4505812,충북 청주시 흥덕구 봉명동 산 11-1
b8bf1c8a779f4c6d35cd6fd59e207559,전주솔내체육공원야구장,35.878209,127.1073064,전북특별자치도 전주시 덕진구 전미동2가 1530
edb95df95b1d7c9de08d0e99979c8811,책놀이터북적북적,35.5275747,129.4302008,울산 동구 서부로 18
946c56c4836d25053cde8037ef68cdb4,천안시두정평생학습관,36.8322839,127.1450764,충남 천안시 서북구 봉정로 339
