관광지ID,업소명,분류,맛집시도,맛집시군구,현지인순위,외지인순위,원본맛집파일,표준시도,표준시군구,표준구
81118584f36640ff278b435560a98a44,금다연[한식],한식,광주광역시,서구,67.0,72.0,서구_현지인외지인맛집_최종.csv,광주광역시,서구,
811283ee293b32c3bc5f6347d8260e39,밀숲과천점,한식,경기도,과천시,6.0,7.0,과천시_현지인외지인맛집_최종.csv,경기도,과천시,
8116eaf00eecccf51a86a36134f30a2e,숯불구이화우정,한식,전라남도,진도군,64.0,62.0,진도군_현지인외지인맛집_최종.csv,전라남도,진도군,
811acebc218bf6aae13e2096b8a2a141,고메스퀘어김포구래점,전문음식,경기도,김포시,8.0,35.0,김포시_현지인외지인맛집_최종.csv,경기도,김포시,
811dfe1cd0019a86ae3d5224bd01e17f,라롱드꺄레,외국식,광주광역시,동구,52.0,,동구_현지인외지인맛집_최종.csv,광주광역시,동구,
811f2714c61885524a76091309b6bbe6,귀촌부부,외국식,충청남도,부여군,,88.0,부여군_현지인외지인맛집_최종.csv,충청남도,부여군,
811f5e22fd986d6d76acec0ef45fcf47,본토,전문음식,강원특별자치도,홍천군,60.0,37.0,홍천군_현지인외지인맛집_최종.csv,강원특별자치도,홍천군,
812af58c9e474775f387338f2df13800,다도장어,전문음식,경상남도,창원시 마산합포구,92.0,85.0,창원시+마산합포구_현지인외지인맛집_최종.csv,경상남도,창원시,마산합포구
812f273880816d1730f82064ee158588,말복이네가보자토종순대국,한식,강원특별자치도,인제군,51.0,71.0,인제군_현지인외지인맛집_최종.csv,강원특별자치도,인제군,
81349a1d87b6f749d20bf698ac91097a,향원만두,한식,충청남도,서산시,77.0,48.0,서산시_현지인외지인맛집_최종.csv,충청남도,서산시,
813690354f54710a69549c81995076e0,카페천공팔공산점,카페/찻집,대구광역시,북구,93.0,66.0,북구_현지인외지인맛집_최종.csv,대구광역시,북구,
8136a5f5a45da863e4160a73831922a8,황태만상,한식,강원특별자치도,속초시,78.0,68.0,속초시_현지인외지인맛집_최종.csv,강원특별자치도,속초시,
813c65fa1873a5c0f8b9f336a97e522a,이화식당,전문음식,전라남도,여수시,,91.0,여수시_현지인외지인맛집_최종.csv,전라남도,여수시,
813e4cf23ff5eb660586aa5e8d94d034,미다미[일식],외국식,강원특별자치도,춘천시,43.0,,춘천시_현지인외지인맛집_최종.csv,강원특별자치도,춘천시,
814056befd31c437e470f904d91a4033,마산식당,한식,부산광역시,부산진구,74.0,40.0,부산진구_현지인외지인맛집_최종.csv,부산광역시,부산진구,
81447c6a838a8704587f05080f717d80,낭만짜장[중식],외국식,충청북도,제천시,46.0,32.0,제천시_현지인외지인맛집_최종.csv,충청북도,제천시,
8147bc7440af8a2982781c25e45c7e29,원조떡갈비,한식,경상북도,경주시,70.0,44.0,경주시_현지인외지인맛집_최종.csv,경상북도,경주시,
814968d56dcfea0a8d4ca2fcb1433e22,부뚜막,한식,전북특별자치도,진안군,1.0,3.0,진안군_현지인외지인맛집_최종.csv,전북특별자치도,진안군,
814debd9d5c3a4a8f32fdb0f719384c3,사운즈옥천,카페/찻집,전라남도,순천시,,65.0,순천시_현지인외지인맛집_최종.csv,전라남도,순천시,
81510859873128c85e6b255dfe1d68bd,가리티커피,카페/찻집,충청북도,괴산군,67.0,49.0,괴산군_현지인외지인맛집_최종.csv,충청북도,괴산군,
8153e157059fb656641a05242bfbb6b5,원조태평소국밥유천점,한식,대전광역시,중구,39.0,33.0,중구_현지인외지인맛집_최종.csv,대전광역시,중구,
