시도,시군구,데이터개월수,시작년월,종료년월,데이터구분,신뢰도,최근월방문자수,최근3개월평균방문자수,직전3개월평균방문자수,최근3개월증가율,월평균추세기울기,상대추세기울기,최근3개월전년대비증감률,최근증가점수,장기추세점수,전년대비성장점수,로컬발견가능성,최근월증가율,최근월전년대비증감률,단기증가점수,단기전년대비점수,단기임시점수
경상남도,진주시,12,202509,202608,12개월,높음,1927712.0,1836817.3333333333,2004045.3333333333,-8.344521813877796,-28057.1713286713,-1.4198935619564421,-2.2333333333333334,21.531687554687228,13.482545480539976,18.062088428974597,18.08,,,,,
경상남도,창녕군,12,202509,202608,12개월,높음,739977.0,763772.3333333334,986957.6666666666,-22.613465690693243,-6061.849650349635,-0.6991926827493652,-2.3000000000000003,4.408735338782311,23.621671687673686,17.87394167450611,14.21,,,,,
경상남도,창원시,12,202509,202608,12개월,높음,9781807.0,9670913.0,10287369.0,-5.992358201596541,-48701.755244754866,-0.48640187306332294,-1.7999999999999998,24.35432008340042,26.61530321688546,19.285042333019753,23.51,,,,,
경상남도,창원시+마산합포구,12,202509,202608,12개월,높음,2102272.0,2022814.6666666667,2134059.6666666665,-5.2128345677307575,-16331.804195804163,-0.7723640642010101,-3.5333333333333337,25.289760438978533,22.592265601608148,14.393226716839132,21.21,,,,,
경상남도,창원시+마산회원구,12,202509,202608,12개월,높음,1854248.0,1834550.6666666667,1942129.0,-5.539196074685732,-10584.583916083842,-0.5588751225497205,-4.2,24.898121608736812,25.595718747955544,12.511759172154276,21.39,,,,,
경상남도,창원시+성산구,12,202509,202608,12개월,높음,2901710.0,2904941.6666666665,3025543.3333333335,-3.986115992389256,-12173.40909090895,-0.40826729729403977,0.8666666666666667,26.761841605550718,27.714533629559885,26.81091251175917,27.06,,,,,
경상남도,창원시+의창구,12,202509,202608,12개월,높음,2868712.0,2831872.0,3033036.0,-6.632430343721604,-13745.262237762161,-0.4678143456674378,-1.4333333333333333,23.586223663724446,26.87680045045729,20.31984948259642,23.59,,,,,
경상남도,창원시+진해구,12,202509,202608,12개월,높음,1506001.0,1501175.6666666667,1717300.6666666667,-12.585157869850786,-2271.832167832175,-0.14447618645199384,-2.9333333333333336,16.442859034627574,31.4256590663571,16.0865475070555,20.83,,,,,
경상남도,통영시,12,202509,202608,12개월,높음,1555428.0,1379189.0,1312045.3333333333,5.117480696805198,2894.349650349658,0.21472872878982074,-6.3,37.686297714403,36.47910644644982,6.585136406396988,27.99,,,,,
경상남도,하동군,12,202509,202608,12개월,높음,722768.0,622562.6666666666,844580.6666666666,-26.28736469616875,4312.314685314671,0.6480133027354731,-3.3666666666666667,0.0,42.574737942934874,14.863593603010344,17.23,,,,,
경상남도,함안군,12,202509,202608,12개월,높음,920493.0,959816.6666666666,1075154.6666666667,-10.727572839132613,1206.111888111886,0.12236575051930135,-0.20000000000000004,18.67198965512493,35.17970482149014,23.800564440263404,25.16,,,,,
경상남도,함양군,12,202509,202608,12개월,높음,913885.0,771389.3333333334,657203.3333333334,17.374531474277365,2172.195804195824,0.30487978487175,-7.033333333333332,52.39494725304121,37.74738981017587,4.515522107243651,33.64,,,,,
경상남도,합천군,12,202509,202608,12개월,높음,594486.0,546070.3333333334,645731.0,-15.433774538726905,-3892.3636363636474,-0.6621548534966681,-1.0,13.024475198816873,24.14273560762412,21.542803386641577,18.92,,,,,
경상북도,경산시,2,202607,202608,2개월,낮음,2616565.0,,,,,,,,,,,8.447145090510602,-1.5,42.67360463213442,80.87027914614123,61.77
경상북도,경주시,2,202607,202608,2개월,낮음,4763042.0,,,,,,,,,,,12.546549390557422,-3.4,52.69543181081335,79.31034482758619,66.0
경상북도,고령군,2,202607,202608,2개월,낮음,494462.0,,,,,,,,,,,2.4220693540803158,-2.8,27.94408215779189,79.80295566502463,53.87
경상북도,구미시,2,202607,202608,2개월,낮음,2265624.0,,,,,,,,,,,0.9286441688220394,-4.1,24.293100694271914,78.73563218390805,51.51
경상북도,김천시,2,202607,202608,2개월,낮음,1344878.0,,,,,,,,,,,3.71895090139559,-0.3,31.114572743036916,81.85550082101807,56.49
경상북도,문경시,2,202607,202608,2개월,낮음,1183668.0,,,,,,,,,,,9.76414490705451,-0.5,45.89327841634843,81.6912972085386,63.79
경상북도,봉화군,2,202607,202608,2개월,낮음,474002.0,,,,,,,,,,,11.894262728508838,-5.1,51.100784462189175,77.91461412151068,64.51
경상북도,상주시,2,202607,202608,2개월,낮음,1259324.0,,,,,,,,,,,9.834218293201973,-2.4,46.06458705399285,80.13136288998358,63.1
경상북도,성주군,2,202607,202608,2개월,낮음,682062.0,,,,,,,,,,,5.332554993421175,-8.2,35.059355975299425,75.36945812807882,55.21
경상북도,안동시,2,202607,202608,2개월,낮음,1595486.0,,,,,,,,,,,12.81092214457884,-2.8,53.34174475231166,79.80295566502463,66.57
경상북도,영덕군,2,202607,202608,2개월,낮음,1276558.0,,,,,,,,,,,27.551462903345065,-4.2,89.37799323918102,78.65353037766832,84.02
경상북도,영양군,2,202607,202608,2개월,낮음,193540.0,,,,,,,,,,,29.05764050038676,-3.1,93.06015056574124,79.55665024630542,86.31
